WVZ-Nr. (R | S | E/M),edwoca-ID,,,,,,,
R 157 | S 403 | A137,208,,,,,,,
R 157 | S 403 | A137,209,,,,,,,
R 157 | S 403 | A137,210,,,,,,,
R 52 | S 230 | A326,211,,,,,,,
R 61 | S 193 | -,212,,,,,,,
R 273 | S 440 | A204,213,,,,,,,
R 267 | S 434 | A187,214,,,,,,,
R 39 | S 217 | A317,215,,,,,,,
R 78 | S 199 | A305,216,,,,,,,
"R 10 e,6 | S 163/6 | A283/6",217,,,,,,,
R 95 | S 237 | A236,218,,,,,,,
"R 106,2 | S 244/2 | A132/2",219,,,,,,,
R 661 | S 696 | A337,220,,,,,,,
R 117 | S 386 | A125,221,,,,,,,
R 117 | S 386 | A125,222,,,,,,,
R 117 | S 386 | A125,223,,,,,,,
R 265 | S 432 | A240,224,,,,,,,
S 164g,225,,,,,,,
"R 598 | S 295 | N28
R 599a | S 309 | N36
R 601, R 596a",226,,,,,,,
R 598 | S 295 | N28,227,,,,,,,
R 599a | S 309 | N36,228,,,,,,,
R 571a | S 283/1 | N24,229,,,,,,,
R 38 | S 216 | A325,230,,,,,,,
R 25 | S 181 | A290,231,,,,,,,
R 25 | S 181 | A290,232,,,,,,,
R 25 | S 181 | A290,233,,,,,,,
R 74 | S 188 | A300,234,,,,,,,
R 74 | S 188 | A300,235,,,,,,,
R 46 | S 244 | A313,236,,,,,,,
R 79 | S 203 | A322,237,,,,,,,
R 79 | S 203 | A322,238,,,,,,,
"R 14,3 | S 173/3 | S 166x | A158/3",239,,,,,,,
R 515 | S 58 | J40,240,,,,,,,
,241,,,,,,,
R 507 | S 51 | J34,242,,,,,,,
R 72 | S 506a | A286a,243,,,,,,,
R 512 | S 62 | J47,244,,,,,,,
R 398 (557),245,,,,,,,
R 383,246,,,,,,,
R 391,247,,,,,,,
R 405,248,,,,,,,
R 391,249,,,,,,,
R 355 | S 257 | C1,250,,,,,,,
R 607 | S 287 | N19,251,,,,,,,
S 166g,252,,,,,,,
R 304 | S 619 | B59,253,,,,,,,
R 304 | S 619 | B59,254,,,,,,,
R 461 | S 127 | D3,255,,,,,,,
R 634 | S 338 | N66,256,,,,,,,
R 128 | S 464 | A37c,257,,,,,,,
"R 128,3 | S 464/3 | A37c/3",258,,,,,,,
"R 128,4 | S 464/4 | A37c/4",259,,,,,,,
"R 128,8 | S 464/8 | A37c/8",260,,,,,,,
"R 128,98 | S 464/9 | A37c/9",261,,,,,,,
R 634 | S 338 | N66,262,,,,,,,
S 485b,263,,,,,,,
,264,,,,,,,
R 383 | S 262 | E20,265,,,,,,,
"R 390,1 | S 268/1 | E41",266,,,,,,,
R 386 | S 265 | E32,267,,,,,,,
R 184 | S 517 | A202/3,268,,,,,,,
R 184 | S 517 | A202/3,269,,,,,,,
R 183 | S 516 | A202/1,270,,,,,,,
R 664 | S 516a | A202/2,271,,,,,,,
R 539 | S 69/1 | L8,272,,,,,,,
"R 638,4 | S 345/3a | L14",273,,,,,,,
R 644b | S 685 | N47,274,,,,,,,
R 48b | S 521 | A164b,275,,,,,,,
"R 390,2 (429,1) | S 268/2 | E7",277,,,,,,,
R 616 | S 324 | N50,278,,,,,,,
R 187 | S 520 | A201,279,,,,,,,
R 160 | S 405 | A140,280,,,,,,,
R 227 | S 417 | A232,281,,,,,,,
R 70 | S 185 | A226,282,,,,,,,
R 410 | S 679 | F1,283,,,,,,,
R 410 | S 679 | F1,284,,,,,,,
"R 211,3 | S 541/3 | A103/3",285,,,,,,,
R 270 | S 437 | A284,286,,,,,,,
"R 411a,b (487)",287,,,,,,,
R 411b | S 667 | E23,288,,,,,,,
R 411a | S 678 | F3,289,,,,,,,
R 607 | S 287 | N19,290,,,,,,,
R 595 | S 312 | N51,291,,,,,,,
,292,,,,,,,
,293,,,,,,,
R 96 | S 238 | A169,294,,,,,,,
"R 609b | S 297/2 | N34
R 612 | S 320 | N62",295,,,,,,,
R 609b | S 297/2 | N34,296,,,,,,,
R 571b | S 283/2 | N24,297,,,,,,,
