edwoca,Name (RD),Name (abweichend),Infos,Art,GND-ID,Name GND
RD,Beethoven-Comité,,Comité des Beethoven-Denkmals,Körperschaft,,
RD,Kirchenmusikverein am Krönungsdome zu St. Martin in Pressburg,,,Körperschaft,,
RD,Komitee des böhmischen Kunstvereins Umělecká beseda,,Comité des böhmischen Kunstvereins Umelecka Beseda,Körperschaft,,
RD,Comité-Directeur de la Société philharmonique de St. Petersbourg,,,Körperschaft,,
RD,Hofmusikalienhandlung Mannheim,,,Körperschaft,,
RD,Musikverleger Constantin Sander,,,Körperschaft,,
RD,Comité der Antwerpener Société de Musique,,,Körperschaft,,
RD,Sekretär der Académie des beaux-arts,,Sekretär der Académie des beaux-arts,Körperschaft,,
RD,Académie des beaux-arts,,,Körperschaft,,
RD,"Comité der ""Presse parisienne""",,,Körperschaft,,
RD,Gazette de Hongrie,,,Körperschaft,,
RD,Mason und Hamlin,,,Körperschaft,,
RD,Theodor Michaelis,,,Körperschaft,,
RD,Rich und Mason,,,Körperschaft,,
RD,Allgemeiner deutscher Musikverein,,Vorstand des Allgemeinen deutschen Musikvereins,Körperschaft,,
RD,Gran,,Diözese in Budapest?,Geografika,,
RD,Albano,,,Geografika,,
RD,Bade,,,Geografika,,
RD,Schwerstedt,,,Geografika,,
RD,Landständischer Saal (Wien),,,Geografika,,
RD,Grand Théâtre (Marseille),,,Geografika,,
RD,Hôtel de Ville (Paris) / Salle Saint-Jean,,,Geografika,,
RD,Kärntnerthortheater (Wien),,,Geografika,,
RD,rue Neuve-Saint-Augustin 23 (Paris),,,Geografika,,
RD,Apollo-Saal (Hamburg),,,Geografika,,
RD,Erste Beethoven-Halle,,,Geografika,,
RD,Englisches Haus (Berlin),,,Geografika,,
RD,Jägerhaus (Weimar),,,Geografika,,
RD,Hotel Weidenbusch (Frankfurt am Main),,,Geografika,,
RD,Opernhaus am Hagenmarkt (Braunschweig),,,Geografika,,
RD,Academy of Music (New York City),,,Geografika,,
GND,,,,Geografika,4200756-2,Nikolajew
GND,,,,Geografika,4698013-1,Nohant-Vic
GND,,,,Geografika,4091159-7,Dornburg
GND,,,,Geografika,4046496-9,Polen
GND,,,,Person,118917447,"Haßler, Hans Leo"
GND,,,,Person,118550128,"Herwegh, Georg"
GND,,,,Person,1147235635,"Hélène, Orléans, Herzogin"
GND,,,,Person,11689217X,"Hilpert, Bruno"
GND,,,,Person,119486725,"Decius, Nikolaus"
GND,,,,Person,116955422,"Hohenlohe-Schillingsfürst, Gustav Adolf zu"
GND,,,,Person,118554654,"Hugo, Victor"
GND,,,,Person,118893106,"Abd-al-Madschid I., Osmanisches Reich, Sultan"
GND,,,,Person,118775944,"Janin, Jules Gabriel"
GND,,,,Person,118985418,"Jókai, Mór"
GND,,,,Person,118565796,"Kotzebue, August von"
GND,,,,Person,11664530X,"Lafont, Charles Philippe"
GND,,,,Person,118726056,"Lamartine, Alphonse de"
GND,,,,Person,118568930,"Lamennais, Félicité Robert de"
GND,,,,Person,116682418,"Landshoff, Ludwig"
GND,,,,Person,1025880536,"Petrichevich Horváth, Lázár"
GND,,,,Person,116890177,"Leitgeb, Otto von"
GND,,,,Person,133663566,"Lüttichau, Ida von"
GND,,,,Person,116694475,"Malherbe, Charles"
GND,,,,Person,116760338,"Marchesi, Salvatore"
GND,,,,Person,142364479,"Marek, Ludwik"
GND,,,,Person,1052854699,Martellini
GND,,,,Person,118578723,"Massenet, Jules"
GND,,,,Person,118553909,"Hrabanus, Maurus"
GND,,,,Person,118580310,"Meißner, Alfred von"
GND,,,,Person,118581945,"Meyerbeer, Giacomo"
GND,,,,Person,11690559X,"Meyer-Merian, Theodor"
GND,,,,Person,119083213,"Kalergis, Maria"
GND,,,,Person,118584596,"Mozart, Wolfgang Amadeus"
GND,,,,Person,117597082,"Müller, Joseph"
GND,,,,Person,11858524X,"Müller, Wilhelm"
GND,,,,Person,101930992,"Orléans, Hélène Louise d'"
GND,,,,Person,1052844065,Pictet
GND,,,,Person,118678841,"Da Ponte, Lorenzo"
GND,,,,Person,118651102,"Augusta, Deutsches Reich, Kaiserin"
GND,,,,Person,104373725,"Pucić, Orsat Medo"
GND,,,,Person,116392983,"Redwitz, Oskar von"
GND,,,,Person,118744453,"Rellstab, Ludwig"
GND,,,,Person,1052848664,"Reviczky, Sidonie"
GND,,,,Person,118745425,"Rist, Johann"
GND,,,,Person,118602330,"Rolland, Romain"
GND,,,,Person,119034883,"Roquette, Otto"
GND,,,,Person,118926802,"Rubinštejn, Anton G."
GND,,,,Person,118603817,"Rückert, Friedrich"
GND,,,,Person,117056553,"Nordmann, Johann"
GND,,,,Person,1052844057,"Potocka, Marie"
GND,,,,Person,118685279,"Ernst II., Sachsen-Coburg-Gotha, Herzog"
GND,,,,Person,120491869,"Samter, Alice"
GND,,,,Person,118606832,"Scheffel, Joseph Victor von"
GND,,,,Person,118975072,"Scheffer, Ary"
GND,,,,Person,118608096,"Schlesinger, Adolf Martin"
GND,,,,Person,128480343,"Schop, Johann"
GND,,,,Person,118610961,"Schubert, Franz"
GND,,,,Person,116214317,"Bock, Hans"
GND,,,,Person,118615017,"Smetana, Bedřich"
GND,,,,Person,11861598X,"Spee, Friedrich von"
GND,,,,Person,118618814,"Strachwitz, Moritz von"
GND,,,,Person,105611844X,"Szabady, Frank Ignác"
GND,,,,Person,117254231,"Teleky, Alexander von"
GND,,,,Person,122993470,"Walsh, Théobald"
GND,,,,Person,117302791,"Thern, Károly"
GND,,,,Person,117375098,"Tichatschek, Josef Aloys"
GND,,,,Person,104018879,"Tirindelli, Pier Adolfo"
GND,,,,Person,118623257,"Tolstoj, Aleksej Konstantinovič"
GND,,,,Person,118625063,"Uhland, Ludwig"
GND,,,,Person,118792423,"Pius V., Papst"
GND,,,,Person,1052833705,"Seghers, Herminie"
GND,,,,Person,117467766,"Vogt, Gustave"
GND,,,,Person,118629662,"Weber, Carl Maria von"
GND,,,,Person,120755106,"Wiedebein, Gottlob"
GND,,,,Person,117410144,"Winterberger, Alexander"
GND,,,,Person,117024147,"Eugen, Sayn-Wittgenstein, Fürst"
GND,,,,Körperschaft,5004381-X,Brandus et Cie
RD,Choeur Trotebas,,Chor,Körperschaft,,
RD,Stadtkirchgemeinde Weimar. Kirchenchor,,Chor,Körperschaft,,
RD,Hof- und Kirchenchor (Hannover),,Chor,Körperschaft,,
GND,,,,Körperschaft,7600054-0,Maison Erard
GND,,,,Körperschaft,10369896-6,F. W. Garbrecht (Leipzig)
GND,,,,Körperschaft,6027255-7,Neu-Weimar-Verein
RD,"Vietinghoff, Karl Baron von",,,Person,,
RD,"Fabre, Mme",,,Person,,
RD,"Sirani-Rosati, Teresa","Rosati, Teresa",,Person,,
RD,"Cappelloni, Ercole",,,Person,,
RD,"Davies, H.",,,Person,,
RD,"Schrott, Marie",,"kaum Informationen, Schreibweisen prüfen",Person,,
RD,"Katz, T. Madame",,"kaum Informationen, Schreibweisen prüfen",Person,,
RD,"Girard, Mademoiselle",,"möglicherweise nicht projektrelevant, deswegen noch nicht angelegt",Person,,
RD,"Sternacker, G.",,"kaum Informationen, Schreibweisen prüfen",Person,,
RD,"Pacini, Mademoiselle",,,Person,,
RD,"Boulanger, Monsieur",,,Person,,
RD,"Lambert, Antonia",,,Person,,
RD,"Richelme, Louis-Ferdinand",,,Person,,
RD,"Le Hye, Louise-Geneviève de","Rousseau, Louise-Geneviève",,Person,,
RD,"Bloc, Monsieur",,,Person,,
RD,"Thonon, Gilles",,,Person,,
RD,"Hess, Monsieur",,,Person,,
RD,"Sabon, Monsieur",,,Person,,
RD,"Rognon, Monsieur",,,Person,,
RD,"Knoop, Georg","Knoop, Johann Georg",,Person,,
RD,"Kratky, Fräulein",,,Person,,
RD,"Geiseler, Fräulein",,,Person,,
RD,"Wolf, Fräulein",,,Person,,
RD,"Wigand, Fräulein",,,Person,,
RD,"Steeger, Laura Mathilde","Sohège, Laura Mathilde",,Person,,
RD,"Zech, Hugo",,,Person,,
RD,"Stumpff, Johann Eduard",,,Person,,
RD,"Sciubro, Mina",,,Person,,
RD,"Kovatsits, Ilona von","Kovatsits, Ilona von | Kovacsics, Ilona von | Covacsics, Ilona von | Kovásits, Ilona von | Kowasits, Ilona von | Falz, Ilona von",,Person,,
RD,"Freiberg, Theodor",,,Person,,
RD,"Aarvold, Kari","Aarvold Glaser, Kari",,Person,,
RD,"Harmat, Artúr",,,Person,,
RD,"Glatz, Franz","Glatz, Ferenc; Gassi, Ferenc",,Person,,
GND,,,,Person,1067646868,"Bocella, Cesare"
GND,,,,Person,1105418677,"Macnutt, Richard"
GND,,,,Person,1244345962,"Stahr, Anna"
GND,,,,Person,117205109,"Stahr, Helene"
GND,,,,Person,1025693272,"von Pazmandy, Dionys"
GND,,,,Person,116901349,"Navrátil, Carl"
GND,,,,Person,1067661387,"Gentilucci, Romualdo"
GND,,,,Person,1052834124,"von Sachsen-Weimar, Elisabeth"
GND,,,,Person,1159190313,"Sylvain, Charles"
GND,,,,Person,116233869,"Boisselot, Franz"
GND,,,,Person,1137182091,"Bibesco, Alexander"
GND,,,,Person,1142025888,"Narischkin, Olga"
GND,,,,Person,102476320X,"Bonaparte de Roccagiovine, Julie"
GND,,,,Person,137673264,"Bibesco, Elena"
GND,,,,Person,11713421X,"De Montigny, Caroline"
GND,,,,Person,118785028,"Moscheles, Ignaz"
GND,,,,Person,119211653,"Lʹvov, Aleksej F."
GND,,,,Person,116119985,"Benedict, Julius"
GND,,,,Person,116245247,"Pleyel, Camilla"
GND,,,,Person,117442003,"Wolff, Oskar Ludwig Bernhard"
GND,,,,Person,11949924X,"Fétis, François-Joseph"
GND,,,,Person,100809766,"Dräxler, Carl Ferdinand"
GND,,,,Person,119195860,"Belgioioso, Cristina"
GND,,,,Person,123449324,"Liszt, Maria Anna"
GND,,,,Person,118741837,"Preller, Friedrich"
GND,,,,Person,102199191,"David, Ferdinand"
GND,,,,Person,116054670,"Dehn, Siegfried Wilhelm"
GND,,,,Person,118677667,"Czerny, Carl"
GND,,,,Person,11654127X,"Clauss-Szarvady, Wilhelmine"
GND,,,,Person,119189275,"Weitzmann, Carl Friedrich"
GND,,,,Person,118702955,"Franz, Robert"
GND,,,,Person,119524872,"Legouvé, Ernest"
GND,,,,Person,118903861,"Henselt, Adolf von"
GND,,,,Person,118560751,"Kaulbach, Wilhelm von"
GND,,,,Person,119131641,"Sophie Luise, Sachsen-Weimar-Eisenach, Grossherzogin"
GND,,,,Person,116811994,"Hillebrand, Karl"
GND,,,,Person,100471641,"Ferrière, Théophile de"
GND,,,,Person,1052844073,"Ollivier, Blandine"
