,MGG (1),MGG (2),MGG (3),Raabe,Searle,Eckhardt-Müller,Werktitel (MGG),Titel des Werks ,Populartitel,Vertonung,Fassung,Version,Titel des untergeordneten Werks,Abteilungen / Akte / Abschnitte,Sammlung 1,Sammlung 2,Tonart,Taktart,Tempoangabe,Besetzung,Text-Incipits,Widmung an,Widmung diplomatisch,Kommentar zur Widmung,Musikalische Vorlage,Komponist,Textvorlage,Textdichter,Vorlage Kunstwerk,Künstler,Lokalitätsbezug,Kompositionszeitraum,"Entstehung und Herausgabe
(Fließtext)",Erstausgabe,Link Notentext EA,Anthologie,Folgeausgaben,UA,Weitere Aufführungen,Konzertberichte,Werkrezensionen,"Verweis auf andere ""Werke""",Briefstellen,Literatur (1),Seite (1),Literatur (2),Seite (2),Literatur (3),Seite (3),Literatur (4),Seite (4),Literatur (5),Seite(5),Neuausgaben,Bearbeiter,Kommentare Bearbeiter,Autographe Entwürfe (1),Link,Kommentar,Autographe Entwürfe (2),Link,Kommentar,Autographe Entwürfe (3),Kommentar,Autograph(e Stichvorlage) (1),Link ,Kommentar,Autograph(e Stichvorlage) (2),Link,Kommentar,Autograph(e Stichvorlage) (3),Link,Kommentar,Autographe Abschrift (1),Link,Kommentar,Autographe Abschrift (2),Link,Kommentar,Autographe Abschrift (3),Kommentar,Autographe Abschrift (4),Kommentar,Drucke mit Eintragungen von Liszts Hand (1),Link,Kommentar,Drucke mit Eintragungen von Liszts Hand (2),Link,Kommentar,"Auktionen, Katalog",Link,Kommentar
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,484,9,I2,"Missa solennis zur Erweihung der Basilika in Gran [= Esztergom] [""Graner Messe""]",Missa solennis zur Erweihung der Basilika in Gran,,,,,,,,,,,,"S, A, T, B, gemCh., Orch.",,,,,,,,,,,,,,"Wien 1859†, Imperial Printing House",,,"Lpz. 1871 (rev.), Schuberth","UA: Esztergom (= Gran), 31.08.1856",,,,,,Gottwald 1982,171,Eckardt 1986,33–34,Mangei 2011,255–268,Bartók 1993,481-484,,,,,,D-Ngm Hs 107023 [1],http://dlib.gnm.de/item/Hs107023-1/3/html,,,,,,,H-Bn Ms.mus. 5.827 ,,Fragment; weitere Handschrift: RUS-Spsc online nicht nachzuweisen,,,,,,,D-WRgs GSA 60/B 4b ,, von 1856; Schrift von Raff und 16 Seiten von Liszts Hand; Korrektureintragungen von Radeckart ,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Kyrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Gloria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Credo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Sanctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Benedictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Agnus Dei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,487,11,I9,Ungarische Krönungsmesse,Krönungsmesse,,,,,,,,,,,,"S, A, T, B, gemCh., Orch.",,,,,,,,,,,,,,"Lpz. 1870†, Schuberth",,,"Lpz. 1871, Schuberth","UA: Buda, 08.07.1867",,,,"A238, B31, D10, E23, F3, H14, J6",,Eckhardt 1986,35–37,,,,,,,,,,,,H-Bl Ms mus L 077 ,,,,,,,,D-WRgs GSA 60/B 5b ,,"Enthält nur Graduale, Sanctus und Credo ",,,ein Klavierauszug soll sich in einer privaten Sammlung befinden (Howard/ Short 2004 S. 5) ,,,,H-Bn Ms.mus. 3.591,,zeitgenössische Schrift mit Korrekturen von Liszt und Titelblatt von Liszt ,A-Wn HK.2065 ,,"Partitur + Stimmen zeitgenössische Schrift; Material der Uraufführung 
Der Kommentar ist völlig falsch. Es handelt sich um Stimmen (keine Partitur), die zwar teilweise vom Beginn der 1880er Jahre stammen und zahlreiche Jahreszahlen bis in die 1930er Jahre aufweisen, also mehr als 50 Jahre genutzt wurden, eine Partitur oder Liszts Hand ist jedenfalls nicht zu finden. DTie",D-WRgs GSA 60/B 5a,Partitur; zeitgenössische Schrift und die Schrift von Liszt ,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Kyrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Vokalmusik,I. Geistliche Musik für Soli und / oder Chor und Orchester,,,,,,,,,,,Gloria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
