,MGG (1),MGG (2),MGG (3),Raabe,Searle,Eckhardt-Müller,Werktitel (MGG),Titel des Werks ,Populartitel,Vertonung,Fassung,Version,Titel des untergeordneten Werks,Abteilungen / Akte / Abschnitte,Sammlung 1,Sammlung 2,Tonart,Taktart,Tempoangabe,Besetzung,Text-Incipits,Widmung an,Widmung diplomatisch,Kommentar zur Widmung,Musikalische Vorlage,Komponist,Textvorlage,Textdichter,Vorlage Kunstwerk,Künstler,Lokalitätsbezug,Kompositionszeitraum,"Entstehung und Herausgabe
(Fließtext)",Erstausgabe,Link Notentext EA,Anthologie,Folgeausgaben,UA,Weitere Aufführungen,Konzertberichte,Werkrezensionen,"Verweis auf andere ""Werke""",Briefstellen,Literatur (1),Seite (1),Literatur (2),Seite (2),Literatur (3),Seite (3),Literatur (4),Seite (4),Literatur (5),Seite(5),Neuausgaben,Bearbeiter,Kommentare Bearbeiter,Autographe Entwürfe (1),Link,Kommentar,Autographe Entwürfe (2),Link,Kommentar,Autographe Entwürfe (3),Kommentar,Autograph(e Stichvorlage) (1),Link ,Kommentar,Autograph(e Stichvorlage) (2),Link,Kommentar,Autograph(e Stichvorlage) (3),Link,Kommentar,Autographe Abschrift (1),Link,Kommentar,Autographe Abschrift (2),Link,Kommentar,Autographe Abschrift (3),Kommentar,Autographe Abschrift (4),Kommentar,Drucke mit Eintragungen von Liszts Hand (1),Link,Kommentar,Drucke mit Eintragungen von Liszts Hand (2),Link,Kommentar,"Auktionen, Katalog",Link,Kommentar
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 12 Héroïde élégiaque,Heft V,,,e-Moll,,Mesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 13 [Rákóczy March],Heft VI,,,a-Moll,,Tempo di marcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 14,Heft VII,,,a-Moll,,Lento a capriccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 15,Heft VIII,,,d-Moll,,Lento tempo e stilo zingarese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 16 Preludio,Heft IX,,,E-Dur,,Preludio - Andante deciso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 17,Heft X,,,a-Moll,,Andante sostenuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 18 Introduction,Heft X,,,cis-Moll,,Adagio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 19,Heft X,,,fis-Moll,,Lento patetico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 20,Heft X,,,g-Moll,,Allegro vivace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 21,Heft X,,,e-Moll,,"Lento, tempo di marcia funebre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 22 Pesther Karneval (Le Carneval de Pest),Heft X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,105d/1-3,243bis,A60d,"Ungarische Nationalmelodien im leichten Stil bearbeitet: 1 Tempo giusto, D; 2 Animato, C; 3 Prelude - Allegretto, B",Ungarische Nationalmelodien im leichten Stil bearbeitet,,,,,,,,,,,,Kl,,,,,,,,,,,,,,,,,"Wien 1846, Haslinger",,,,,"A60, A132",,,,,,,,,,,,MW ii/12; NLGA i/18,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 1,,,,D-Dur,,Tempo giusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 2,,,,C-Dur,,Animato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,Nr. 3,,,,B-Dur,,Allegretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/1,244,A132,"Ungarische Rhapsodien: 1 Lento quasi recitativo, cis",Ungarische Rhapsodie Nr. 1,,,,,,,,,,,,Kl,,,,,,,,,,,,,,"Lpz. 1851†, Senff",,,,,,,,,,Eckhardt 1986,128–131,,,,,,,,,"MW ii/12; NLGA i/3 (Nr.1-9), i/4 (Nr.10-19)",DTie,,,,,,,,,,D-WRgs GSA 60/I 7,, ältere Fassung,,,,,,,D-WRgs GSA 60/I 8,,zeitgenössische Schrift ,H-Bn Ms.mus. 113/1,,zeitgenössische Schrift mit Liszts Korrekturen ,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,Fassung 1 (ältere),,,,,,cis-Moll,C,"Lento, quasi Recitativo",Kl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,Fassung 2,,,,,,,,,Kl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/2,244,A132,"Ungarische Rhapsodien: 2 Lento a capriccio, cis",Ungarische Rhapsodie Nr. 2,,,,,,,,,cis-Moll,,Lento a capriccio,Kl,,,,,,,,,,,,,,"Lpz. 1851†, Senff",,,,,,,,,,Eckhardt 1986,132–133,Tiemeyer 2019,69-71,,,,,,,"MW ii/12; NLGA i/3 (Nr.1-9), i/4 (Nr.10-19)",DTie,,H-Bn Ms.mus. 274,,,D-WRgs GSA 60/I 67,,,,,,,"Private Sammmlung (= meint Arthur Wilhelm Sammlung, nun Paul Sacher Stiftung, Basel)",,,,,,,CH-Bps.AWS.IV.37.1,"Vermerk: »Manuscript
von Dr F. Liszt. den 7/11 52.«",,H-Bn Ms.mus. 113/2,,zeitgenössische Schrift mit Liszts Korrekturen ,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/3,244,A132,Ungarische Rhapsodien: 3 Andante,Ungarische Rhapsodie Nr. 3,,,,,,,,,,,Andante,Kl,,,,,,,,,,,,,,"Wien 1853†, Haslinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/4,244,A132,"Ungarische Rhapsodien: 4 Quasi adagio, altieramente, Es",Ungarische Rhapsodie Nr. 4,,,,,,,,,Es-Dur,C,"Quasi adagio, altieramente",Kl,,,,,,,,,,,,,,"Wien 1853†, Haslinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,D-WRgs GSA 60/I 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/5,244,A132,"Ungarische Rhapsodien: 5 Héroïde élégiaque, e",Ungarische Rhapsodie Nr. 5 Héroïde élégiaque,,,,,,,,,e-Moll,C,Lento,Kl,,,,,,,,,,,,,,"Wien 1853†, Haslinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,D-WRgs GSA 60/I 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/6,244,A132,"Ungarische Rhapsodien: 6 Tempo giusto, Des",Ungarische Rhapsodie Nr. 6,,,,,,,,,Des-Dur,,Tempo giusto,Kl,,,,,,,,,,,,,,"Wien 1853†, Haslinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,D-WRgs GSA 60/I 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/7 ,244,A132,"Ungarische Rhapsodien: 7 Lento, d",Ungarische Rhapsodie Nr. 7,,,,,,,,,d-Moll,,Lento,Kl,,,,,,,,,,,,,,"Wien 1853†, Haslinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,D-WRgs GSA 60/I 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/8,244,A132,Ungarische Rhapsodien: 8 Lento a capriccio,Ungarische Rhapsodie Nr. 8,,,,,,,,,,,Lento a capriccio,Kl,,,,,,,,,,,,,,"Mz. 1853†, Schott",,,,,,,,,,Mueller 1986a ,281–282,,,,,,,,,"RS, 1956 (Faksimile)",DTie,,D-WRgs GSA 60/N 5 ,,,,,,,,D-WRgs GSA 60/I 9 ,,,"RUS-SPsc Fund 298. Collection of Alexander Siloti, No. 9",,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/9,244,A132,Ungarische Rhapsodien: 9 Pesther Carneval (Le carnaval de Pesth),Ungarische Rhapsodie Nr. 9 Pesther Carneval (Le carnaval de Pesth),,,,,,,,,Es-Dur,C,,Kl,,,,,,,,,,,,,,"Mz. 1853†, Schott",,,,,,,,,,,,,,,,,,,,"RS, 1956 (Faksimile)",DTie,,,,,,,,,,D-WRgs GSA 60/I 3,,,D-WRgs GSA 60/I 4,,,,,,US-NYj 27 L699rhh no.9,https://juilliardmanuscriptcollection.org/phpviewer/index.php?path=LISZ_HR9,mit Korrekturen von Liszt ,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/10,244,A132,"Ungarische Rhapsodien: 10 Preludio, E",Ungarische Rhapsodie Nr. 10 Preludio,,,,,,,,,E-Dur,,,Kl,,,,,,,,,,,,,,"Mz. 1853†, Schott",,,,,,,,,,,,,,,,,,,,"RS, 1956 (Faksimile)",DTie,,,,,,,,,,D-WRgs GSA 60/I 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/11,244,A132,"Ungarische Rhapsodien: 11 Lento a capriccio, a",Ungarische Rhapsodie Nr. 11,,,,,,,,,a-Moll,C,Lento a capriccio,Kl,,,,,,,,,,,,,,"Bln. 1853†, Schlesinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,D-WRgs GSA 60/I 6,,,,,,,,,,,,,,,,,,,H-Bl Ms mus L 016 ,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/12,244,A132,"Ungarische Rhapsodien: 12 Introduzione, mesto, cis",Ungarische Rhapsodie Nr. 12 Introduzione,,,,,,,,,cis-Moll,,Mesto,Kl,,,,,,,,,,,,,,"Bln. 1853†, Schlesinger",,,,,,,,,,Mueller 1986a ,282,,,,,,,,,,DTie,,D-WRgs GSA 60/N 5 ,,,,,,,,D-WRgs GSA 60/I 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/13,244,A132,"Ungarische Rhapsodien: 13 Andante sostenuto, a",Ungarische Rhapsodie Nr. 13,,,,,,,,,a-Moll,,Andante sostenuto,Kl,,,,,,,,,,,,,,"Bln. 1853†, Schlesinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,D-WRgs GSA 60/I 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/14,244,A132,"Ungarische Rhapsodien: 14 Lento, quasi marcia funebre, f",Ungarische Rhapsodie Nr. 14,,,,,,,,,f-Moll,,"Lento, quasi marcia funebre",Kl,,,,,,,,,,,,,,"Bln. 1853†, Schlesinger",,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,D-WRgs GSA 60/I 9,,,,,,,,,,,,,,,,,,,H-Bl Ms mus L 017 ,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/15a,244,A132,"Ungarische Rhapsodien: 15 Rákóczi-Marsch, a",Ungarische Rhapsodie Nr. 15,,,,,,,,,a-Moll,,,Kl,,,,,,,,,,,,,,"Bln. 1853†, Schlesinger",,,,,,,,,,Eckhardt 1975,347–349,,,,,,,,,,DTie,,,,,,,,,,H-Bn Ms.mus. 5.829,,lückenhaft; Klavierauszug der Orchesterversion von 1863,D-WRgs GSA 60/I 9,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/15b,244,A132,"Ungarische Rhapsodien: 15 Marche de Rákóczy, Edition populaire",Ungarische Rhapsodie Nr. 15,,,Edition populaire,,,,,,,,,Kl,,,,"Der Rákóczi-Marsch liegt darüber hinaus noch in zwei weiteren Versionen vor, in einer frühen von 1839/40 (NG 2, E-M, A 59) sowie in einer ca. 1863 revidierten, und 1871 bei Schuberth (Hbg.) erschienenen Variante (NG 2, E-M, A 224).",,,,,,,,,,,,,"Lpz. 1851, Kistner",,,,,,,Eckhardt 1975,347–349,Eckhardt 1986,126–128,,,,,,,,DTie,,,,,,,,,, ,,,,,,,,,D-WRgs GSA 60/U 73 ,,Liszts Handschrift und zeitgenössische Schrift ,D-WRgs GSA 60/U 19a,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/16,244,A132,"Ungarische Rhapsodien: 16 Allegro, a",Ungarische Rhapsodie Nr. 16,,,,,,,,,a-Moll,,Allegro,Kl,,,,,,,,,,,,,,"Budapest 1882†, o.J. (veränderte Ausgabe), Táborszky & Parsch",,," Wien o.J., Weinberger",,,,,,,Auman 1991 ,11,,,,,,,,,,DTie,,,,,,,,,,US-Wc ML96.L58,,Fragment,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/17,244,A132,"Ungarische Rhapsodien: 17 Lento, d",Ungarische Rhapsodie Nr. 17,,,,,,,,,d-Moll,,Lento,Kl,,,,,,,,,,,,,,"P. in: Le figaro, ?1885†; Lpz. 1886, Hofmeister",,,"Budapest 1886, Táborszky & Parsch",,,,,,,Turner 1980,161,,,,,,,,,,DTie,,,,,,,,,,US-NYpm L774.R468,,kein Digitalisat online,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/18,244,A132,"Ungarische Rhapsodien: 18 Lento, cis",Ungarische Rhapsodie Nr. 18,,,,,,,,,cis-Moll,,Lento,Kl,,,,,,,,,,,,,,"Budapest 1885†, Rózsavölgyi",,,"Budapest 1885, Táborszky & Parsch",,,,,,,Kecskeméti 1962,173–179,Eckhardt 1986,134–135,,,,,,,,DTie,,H-Bn Ms.mus. 3.276,,,,,,,,,,"H-Bami: online nicht nachweisbar, keine Antwort aus Bibliothek (Stand 15.05.17)",,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,106/19,244,A132,"Ungarische Rhapsodien: 19 Lento, d",Ungarische Rhapsodie Nr. 19,,,,,,,,,d-Moll,,Lento,Kl,,,,,,,,,,,,,,"Budapest Táborszky & Parsch, 1885†; Lpz. 1885†, Hofmeister",,,,,,,,,,Eckhardt 1986,136–137,,,,,,,,,,DTie,,,,,,,,,,H-Bn Ms.mus. 353 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/1,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 1 Chappelle de Guillaume Tell (nach Schiller)","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,1 Chappelle de Guillaume Tell (nach Schiller),,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/2,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 2 Au lac de Wallenstadt (nach Byron)","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,2 Au lac de Wallenstadt (nach Byron),,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,RUS-SPsc: unvollständig…,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/3,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 3 Pastorale","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,3 Pastorale,,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/4,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 4 Au bord d'une source (nach Schiller)","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,4 Au bord d'une source (nach Schiller),,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,Gut 1982 ,55–56,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/5,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 5 Orage (nach Byron)","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,5 Orage (nach Byron),,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/6,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 6 Vallée d'Obermann (nach Senancour)","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,6 Vallée d'Obermann (nach Senancour),,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/7,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 7 Eglogue (nach Byron) ","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,7 Eglogue (nach Byron) ,,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/8,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 8 Le mal du pays (Heimweh), ","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,8 Le mal du pays (Heimweh),,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10a/9,160,A159,"Années de pèlerinage, suite de compositions, 1re année, Suisse: 9 Les cloches de Genève (nach Byron)","Années de pèlerinage, suite de compositions, 1re année, Suisse",,,,,9 Les cloches de Genève (nach Byron),,,,,,,Kl,,,,--> A40,,,,,,,,,,"Mz. 1858†, Schott",,,,,,,,"A 21, D18",,,,,,,,,,,,MW ii/6; NLGA i/6,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10b,158,A102,"Tre sonetti del Petrarca: 1 Benedetto sia'l giorno, 2 Pace non trovo, 3 I' vidi in terra angelici costumi",Tre sonetti del Petrarca,,,,,,,,,,,,Kl,,,,"--> Petrarca Sonette Nr. 47, 104 und 123, vgl. ""Années de pèlerinage, deuxième année, Italie""",,,,,,,,,,"Wien 1846†, Haslinger",,,"M. ?1846 (Nr.2), Au Ménestrel; Mz. 1858 (rev.), Schott",,,,,A 55/ N14,,Eckhardt 1986,100–105,,,,,,,,,NLGA i/7; MW ii/6,DTie,,,,D-WRgs GSA 60/U 23 ?,,,,,,,,,,,,,,,,,,,,,,,,,H-Bn Ms. mus. 18,,Nur Nr. 2 ,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,1 Benedetto sia'l giorno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,2 Pace non trovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,,,,,,,,,,3 I' vidi in terra angelici costumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10b/1,161,A55,"Années de pèlerinage, deuxième année, Italie: 1 Sposalizio","Années de pèlerinage, deuxième année, Italie",,,,,1 Sposalizio,,,,,,,Kl,,,,"Nr. 1 wurde von Raphaels gleichnamigem Gemälde inspiriert, Nr. 2 von Michelangelos Statue, Nr. 4-6 liegen die Petrarca-Sonette 47, 104 und 123 zugrunde, die Liszt auch als Lieder vertonte. Nr. 7 folgt einem Gedicht V. Hugos.",,,,,,,,,,"Wien 1846 (1. Version Nr.4-6)†, Haslinger",,,"St Petersburg, ?1847 (Nr.5, ?1. Ausg.), Au Ménestrel; Mz. 1858 (Gesamtausg., 2, Version)†, Schott",,,,,"A102, A197, J44, N14",,Bozó 2007,69–72,,,,,,,,,"MW ii/5 (1. Version, Nr.4-6), ii/6 (2. Version, komplett); NLGA i/7 (2. Version)",DTie,,,,,,,,,,D-WRgs GSA 60/I 15,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/I 13,,,,,,,,
,C. Instrumentalmusik,V. Werke für Klavier zu zwei Händen,1. Originalkompositionen,10b/2,161,A55,"Années de pèlerinage, deuxième année, Italie: 2 Il penseroso","Années de pèlerinage, deuxième année, Italie",,,,,2 Il penseroso,,,,,,,Kl,,,,"Nr. 1 wurde von Raphaels gleichnamigem Gemälde inspiriert, Nr. 2 von Michelangelos Statue, Nr. 4-6 liegen die Petrarca-Sonette 47, 104 und 123 zugrunde, die Liszt auch als Lieder vertonte. Nr. 7 folgt einem Gedicht V. Hugos.",,,,,,,,,,"Wien 1846 (1. Version Nr.4-6)†, Haslinger",,,"St Petersburg, ?1847 (Nr.5, ?1. Ausg.), Au Ménestrel; Mz. 1858 (Gesamtausg., 2, Version)†, Schott",,,,,"A102, A197, J44, N14",,Bozó 2007,69–72,,,,,,,,,"MW ii/5 (1. Version, Nr.4-6), ii/6 (2. Version, komplett); NLGA i/7 (2. Version)",DTie,,,,,,,,,,D-WRgs GSA 60/I 16,,,,,,,,,,,,,,,,,,,D-WRgs GSA 60/I 13,,,,,,,,
